filename,ndvi_mean,evi_mean
0002.png,0.7321506938270381,0.049406669490815826
0001.png,0.34037085009822116,0.023385776326572526
0003.png,0.4273272705531601,0.02906610097276357
0004.png,0.15353718714267045,0.010418559919824107
0005.png,0.08707059239914988,0.005997869090911475
0006.png,0.38767699767856606,0.02656484916035177
0007.png,0.6776464393900221,0.044419073362099284
0008.png,0.5907802227839194,0.04062948212926015
0009.png,0.697398271726153,0.04758124333445036
0010.png,0.5208264619755235,0.0358582970081746
0011.png,0.4325608426275419,0.029648807390255924
0012.png,0.7364195263843664,0.04941720674859321
0013.png,0.4311303941545755,0.029138022748909906
0014.png,0.08957214648669456,0.0059966163109069675
0015.png,0.30176891681635604,0.020560618012019694
0016.png,0.5328533875958438,0.03625136657494397
0017.png,0.7492455236736848,0.050500808117542755
0018.png,0.6624896692827833,0.044946968613105036
0019.png,0.6656831073559751,0.04459904128966222
0020.png,0.38442451071097916,0.026078637444160988
0021.png,0.1598799390445199,0.011036713068166325
0022.png,0.14206067471025913,0.009826587108655171
0023.png,0.5667763392427329,0.038800624241879106
0024.png,0.6408211381529048,0.04356184664405008
0025.png,0.7562997140747448,0.051179760188769484
0026.png,0.197230336265716,0.01311658237736549
0027.png,0.09939000801279914,0.006856045073790894
0028.png,0.39075636657989665,0.02671824873642677
0029.png,0.5730630307595053,0.03900845584386162
